,a,b,c
76,78,-0.20264489524515292,1.5684125146301284
77,79,-0.20403035298700323,1.5715950355444883
78,80,-0.20567504415093163,1.5654738808627788
79,81,-0.2070696811512721,1.5665655544802146
80,82,-0.20770774326804034,1.5511071228513533
81,83,-0.20519052104137453,1.712634142130801
82,84,-0.1927955770054074,1.7139249332111042
83,85,-0.1966001107831301,1.7047981650152502
84,86,-0.19282230116409013,1.7111786222759302
85,87,-0.2014500595102785,1.7029082850452402
86,88,-0.20124413671634722,1.7000667288295923
87,89,-0.19985488959573128,1.7055683538489597
88,90,-0.2024748247272361,1.701382911806346
89,91,-0.20543521469837828,1.695384591794284
90,92,-0.20319087779874354,1.6999100103624112
91,93,-0.20734667292856776,1.6962699254406863
92,94,-0.20409925544033394,1.698076026195671
93,95,-0.204093964828333,1.6954076081119442
94,96,-0.20342081916106414,1.6995444410562215
95,97,-0.19490562152233573,1.7069866747405342
96,98,-0.19860493714932512,1.7019106746614832
97,99,-0.19867805873859024,1.7022677503669716
98,100,-0.19544592948511158,1.705099802903994
99,101,-0.2012182180581122,1.6995277515559692
100,102,-0.21570318744019282,1.702638216966162
101,103,-0.19796184612928644,1.7035065861981287
102,104,-0.1998783149692002,1.6968472441034688
103,105,-0.21905951359981463,1.695747026647353
104,106,-0.2162226423951805,1.7036383876476513
105,107,-0.22131555022911206,1.6888008827480168
106,108,-0.22423634153797647,1.6883635872750902
107,109,-0.2194918394732588,1.7032850059881333
108,110,-0.22064156162851983,1.6991418816591124
109,111,-0.21802328300812027,1.6983925116482368
110,112,-0.22076379719911923,1.6955957653287594
111,113,-0.22371247013079273,1.6938428379390609
112,114,-0.22020127447661875,1.696396418204678
113,115,-0.22268944107214647,1.693692494503777
114,116,-0.2173217527983128,1.708589675681086
115,117,-0.20748539365753335,1.6894641929371588
116,118,-0.20852655767269576,1.6876095354548633
117,119,-0.22246032144258487,1.6970801860212716
118,120,-0.22234901599635581,1.6945550004480558
119,121,-0.22155837569915274,1.699679353378566
120,122,-0.22590405392560287,1.6927624250826945
121,123,-0.22074695718437123,1.6847543760409767
122,124,-0.23133223819632248,1.687691814841981
123,125,-0.2323318576829945,1.6901681922832317
124,126,-0.2336664516598138,1.6884176427754298
125,127,-0.23098733528444737,1.7645772878924204
126,128,-0.22542313486532597,1.7726242555201592
127,129,-0.22366715727826741,1.772716429902376
128,130,-0.218542054915391,1.7620610576786526
129,131,-0.2266555818436826,1.7707144170405926
130,132,-0.2239571275671818,1.7726777815495687
131,133,-0.23645431946038634,1.7715849911509844
132,134,-0.23868910027135656,1.7653162113486254
133,135,-0.2109006194030661,1.7591967254163363
134,136,-0.23684057510933768,1.7683922635369675
135,137,-0.23468954641584863,1.77199992078993
136,138,-0.235901988820275,1.77287618688031
137,139,-0.23283943451564088,1.7789303401882102
138,140,-0.21498976661980881,1.767517645110604
139,141,-0.20969349242438948,1.7713219281724952
140,142,-0.21005680601813914,1.7726697095927306
141,143,-0.22255708681513767,1.7911715367096468
142,144,-0.2282233454652201,1.785311611061538
143,145,-0.2291337221557724,1.7829364139162678
144,146,-0.22536746378396352,1.787183528442542
145,147,-0.2132677942535936,1.7762626942236242
146,148,-0.21210610369410096,1.7749839458702676
147,149,-0.22291817333120184,1.7733100261689878
148,150,-0.2070899881967997,1.775916086911873
149,151,-0.2138475566188255,1.775925413419479
150,152,-0.21708643744438805,1.7687215332211719
151,153,-0.21166057425974455,1.7727302514030265
152,154,-0.23351819208679672,1.7814865643166986
153,155,-0.23320533228131834,1.7869541598369778
