,0
1330,6
1331,17
1332,83
1333,20
1334,18
1335,3
1336,83
1337,316
1338,57
1339,29
1340,76
1341,16
1342,1
1343,192
1344,199
1345,26
1346,29
1347,1
1348,3
1349,74
1350,43
1351,4
1352,36
1353,1
1354,34
1355,36
1356,290
1357,363
1358,52
1359,3
1360,7
1361,171
1362,72
1363,5
1364,4
1365,10
1366,8
1367,9
1368,95
1369,15
1370,6
1371,51
1372,7
1373,36
1374,1
1375,27
1376,182
1377,39
1378,23
1379,157
1380,9
1381,59
1382,136
1383,163
1384,4
1385,59
1386,50
1387,7
1388,17
1389,20
1390,1
1391,4
1392,12
1393,2
1394,39
1395,117
1396,7
1397,164
1398,11
1399,42
1400,25
1401,52
1402,28
1403,366
1404,16
1405,2
1406,155
1407,1
1408,1
1409,27
1410,1
1411,2
1412,1
1413,46
1414,13
1415,10
1416,19
1417,9
1418,2
1419,59
1420,5
1421,145
1422,82
1423,15
1424,6
1425,31
1426,114
1427,63
1428,15
1429,2
1430,4
1431,11
1432,52
1433,56
1434,2
1435,25
1436,37
1437,1
1438,26
1439,23
1440,1
1441,1
1442,14
1443,5
1444,9
1445,227
1446,32
1447,1
1448,1
1449,3
1450,80
1451,2
1452,6
1453,161
1454,19
1455,47
1456,221
1457,35
1458,25
1459,67
1460,5
1461,1
1462,1
1463,24
1464,29
1465,4
1466,55
1467,44
1468,41
1469,95
1470,5
1471,11
1472,1
1473,179
1474,5
1475,10
1476,2
1477,1
1478,260
1479,64
1480,2
1481,34
1482,10
1483,39
1484,14
1485,1
1486,14
1487,1
1488,77
1489,36
1490,61
1491,47
1492,60
1493,102
1494,129
1495,1
1496,46
1497,44
1498,4
1499,1
1500,1
1501,5
1502,111
1503,2
1504,71
1505,11
1506,1
1507,15
1508,1
1509,211
1510,10
1511,27
1512,32
1513,1
1514,1
1515,44
1516,1
1517,55
1518,1
1519,1
1520,93
1521,107
1522,29
1523,222
1524,36
1525,48
1526,12
1527,74
1528,46
1529,5
1530,46
1531,62
1532,27
1533,1
1534,45
1535,8
1536,13
1537,34
1538,27
1539,59
1540,105
1541,49
1542,75
1543,6
1544,38
1545,277
1546,8
1547,2
1548,2
1549,174
1550,7
1551,1
1552,1
1553,87
1554,63
1555,56
1556,4
1557,507
1558,1
1559,137
1560,1
1561,56
1562,33
1563,16
1564,2
1565,1
1566,43
1567,6
1568,4
1569,128
1570,1
1571,13
1572,1
1573,67
1574,21
1575,1
1576,2
1577,42
1578,25
1579,1
1580,63
1581,6
1582,94
1583,182
1584,1
1585,1
1586,84
1587,24
1588,1
1589,33
1590,5
1591,4
1592,97
1593,28
1594,1
1595,3
1596,12
1597,2
1598,16
1599,22
1600,27
1601,71
1602,380
1603,4
1604,1
1605,5
1606,45
1607,101
1608,41
1609,32
1610,113
1611,45
1612,2
1613,5
1614,75
1615,88
1616,57
1617,1
1618,3
1619,6
1620,93
1621,29
1622,1
1623,1
1624,3
1625,6
1626,53
1627,124
1628,2
1629,5
1630,15
1631,188
1632,2
1633,4
1634,169
1635,5
1636,3
1637,257
1638,181
1639,25
1640,7
1641,49
1642,41
1643,23
1644,109
1645,5
1646,1
1647,51
1648,1
1649,14
1650,1
1651,1
1652,34
1653,13
1654,29
1655,3
1656,113
1657,114
1658,2
1659,40
1660,59
1661,145
1662,17
1663,8
1664,30
1665,2
1666,234
1667,19
1668,28
1669,100
1670,5
1671,1
1672,31
1673,35
1674,170
1675,94
1676,1
1677,65
1678,69
1679,1
1680,19
1681,35
1682,69
1683,138
1684,1
1685,61
1686,52
1687,2
1688,10
1689,29
1690,4
1691,1
1692,5
1693,43
1694,7
1695,22
1696,5
1697,77
1698,77
1699,123
1700,33
1701,7
1702,1
1703,1
1704,1
1705,1
1706,70
1707,11
1708,155
1709,53
1710,1
1711,38
1712,2
1713,16
1714,154
1715,96
1716,52
1717,51
1718,56
1719,87
1720,63
1721,4
1722,54
1723,1
1724,2
1725,3
1726,1
1727,27
1728,49
1729,1
1730,64
1731,37
1732,1
1733,27
1734,2
1735,26
1736,1
1737,6
1738,3
1739,6
1740,11
1741,3
1742,20
1743,9
1744,3
1745,70
1746,22
1747,3
1748,7
1749,41
1750,1
1751,20
1752,13
1753,61
1754,6
1755,21
1756,3
1757,15
1758,1
1759,85
1760,98
1761,71
1762,1
1763,52
1764,160
1765,104
1766,1
1767,2
1768,220
1769,85
1770,11
1771,35
1772,11
1773,72
1774,41
1775,194
1776,14
1777,24
1778,1
1779,6
1780,8
1781,3
1782,74
1783,4
1784,2
1785,28
1786,1
1787,88
1788,26
1789,1
1790,94
1791,61
1792,44
1793,134
1794,136
1795,120
1796,3
1797,4
1798,8
1799,48
1800,1
1801,3
1802,9
1803,74
1804,54
1805,18
1806,32
1807,41
1808,2
1809,1
1810,8
1811,112
