,id,length,N_nodes
240,240,17.024777684320092,90
241,241,2.7496685180803437,88
242,242,23.15473984382928,82
243,243,33.475966057322985,59
244,244,36.94143207791299,78
245,245,2.9972974216957837,12
246,246,15.300667814226555,88
247,247,11.117901758714137,72
248,248,26.482612445683642,99
249,249,11.953725149359922,74
250,250,18.622629303648168,63
251,251,3.539417642526119,34
252,252,49.177682073482586,123
253,253,10.126421845767176,33
255,255,4.777421666271421,13
256,256,1.3564068247759515,40
257,257,1.6806426231122613,28
258,258,21.92161774702205,70
259,259,7.032658796571278,21
260,260,4.418905362175981,60
261,261,6.666340660918047,66
262,262,18.265267871977308,66
263,263,11.054331080735984,32
264,264,21.68623273895751,71
265,265,68.10845478094465,372
266,266,25.29973143675223,61
267,267,31.676833543057995,293
268,268,17.21232542422031,65
269,269,1.3050539838719861,27
270,270,65.17105610156023,83
271,271,1.1842578812559144,15
272,272,8.785785093552452,103
273,273,73.61648416906218,165
274,274,38.77145636226183,150
275,275,8.420974641266751,71
276,276,6.054419111415605,82
277,277,10.982520635710815,139
278,278,47.437039928171984,248
279,279,52.155746504883105,82
280,280,10.316925631488928,112
281,281,55.58616613280721,223
282,282,25.920159264764184,178
283,283,32.30655037026734,132
284,284,16.4826907880425,108
285,285,12.221439255236206,75
286,286,11.141757024784653,103
287,287,5.703530469954924,78
288,288,16.09555732119479,135
289,289,2.6457056464998283,44
290,290,7.393510009516641,104
291,291,38.80345318890645,160
292,292,15.639746608075933,115
293,293,37.12158975250718,84
294,294,15.600710430802877,84
295,295,4.79190541640194,32
296,296,23.816935312377723,111
297,297,3.4929153496867036,86
298,298,9.117386791466146,89
299,299,19.955595477111277,293
300,300,8.137055862412716,93
301,301,18.833145115417015,94
302,302,7.153587106031675,108
303,303,56.28793798925533,379
304,304,11.639793525437918,75
305,305,6.455702930039312,48
306,306,60.94114964720585,111
307,307,17.72588504677055,174
308,308,2.96714751027485,47
309,309,49.46370568182716,78
310,310,10.67627483165958,119
311,311,8.346418372579855,57
312,312,4.153649534990263,26
313,313,95.5719666051398,102
314,314,5.9612857214463855,82
315,315,9.19941828226946,59
316,316,75.5406639236245,101
317,317,17.04371164725379,181
318,318,10.72863524714208,140
319,319,35.05816945630471,54
320,320,2.7766154296370913,7
321,321,4.769091248967409,64
322,322,21.9431470768443,100
323,323,3.852870747888853,68
324,324,34.1316010407251,41
325,325,3.2362301071515542,98
326,326,68.7537575659373,343
327,327,15.283327063115284,71
328,328,50.61935358954566,83
329,329,10.112831094780704,153
330,330,51.546675590066044,81
331,331,13.477581558995833,90
332,332,36.70277670023384,70
333,333,205.52387460077,629
334,334,25.33537343697378,158
335,335,28.206545917664236,142
336,336,15.62587096549994,124
337,337,7.4483526476444775,82
338,338,53.21120616914657,69
339,339,76.38365006865787,133
340,340,19.988838169927277,96
341,341,47.80803530010192,109
342,342,10.48321001361897,72
343,343,12.529515290493533,31
344,344,38.47983543933254,89
345,345,10.660010103054463,134
346,346,3.5219183692014973,65
347,347,6.520691692255373,34
348,348,50.69385586993177,261
349,349,9.05135655811253,43
350,350,9.77849865333632,40
351,351,97.71013167158294,248
352,352,13.766402249087124,133
353,353,20.180969978753154,132
354,354,7.019339371152331,94
355,355,6.966868132164652,25
356,356,109.23663839194877,223
357,357,40.40612747917279,102
358,358,20.742999548509776,155
359,359,45.91079590293039,175
360,360,9.777484482018226,25
