,id,ccm,bcm,ebcm
67,68,0.05255926488733155,0.2239647666295433,0.19204976108090288
68,69,0.072122684597986,0.15475887227384938,0.13876964846350193
69,70,0.12347047226471945,0.08523720349563046,0.06539133775088829
70,71,0.22749152153389157,0.17391304347826084,0.16041979010494753
71,72,0.06126897145056663,0.17726705254795141,0.1711288724146364
72,73,0.12341626899774097,0.3102564102564103,0.31282051282051276
73,74,0.09645858802308856,0.11643398702340156,0.0888171200323592
74,75,0.11192660397452818,0.057735608126997594,0.037869071431894136
75,76,0.09162582213603901,0.18035262030001944,0.1710515220507631
76,77,0.06573635685473163,0.20687825583638822,0.20113277133825078
77,78,0.0866840893369715,0.0689385080626539,0.04809501306778628
78,79,0.1081350745266892,0.05959260177860372,0.04436414755206702
79,80,0.07671751410204394,0.15834505391467416,0.15351430976430974
80,81,0.1514914537352003,0.17400257400257402,0.13377528471868091
81,82,0.08934744240726952,0.2716072545340838,0.24665282823040996
82,83,0.12724376886896266,0.17171717171717168,0.1445489376523859
83,84,0.08061105284112349,0.16929912810194503,0.15671876789190434
84,85,0.10356782734583536,0.036781971820939244,0.02527605774378946
85,86,0.09938147053560059,0.08901817597090073,0.07565541868097157
86,87,0.056007507672405345,0.1962281679672984,0.18294642271624376
87,88,0.06462424780632715,0.27087114337568063,0.2526372504537206
88,89,0.07429791230534984,0.21319764464925753,0.20311791383219954
89,90,0.06653448334414346,0.2708032708032708,0.26038961038961045
90,91,0.10707443540241716,0.02694649117667163,0.015427541294788193
91,92,0.11431820061115204,0.16932624113475175,0.15445402298850572
92,93,0.09041238404835635,0.27877867746288804,0.2898397435897435
93,94,0.06733148268340836,0.11947547862575401,0.10325976230899835
94,95,0.09720495004185742,0.11373851866327928,0.09772255155292091
95,96,0.15480314659849898,0.1536437246963563,0.12902757619738753
96,97,0.26163358208419,0.3333333333333333,0.39999999999999997
97,98,0.23119601611238796,0.13644688644688643,0.11369047619047616
98,99,0.09660161329700627,0.14078917952157394,0.11928837985176018
99,100,0.060402965610207776,0.10849795365924397,0.09175484385245372
100,101,0.19227973116187339,0.18294871794871795,0.19965811965811966
101,102,0.08674084351897204,0.14544665860455336,0.11479948622805765
102,103,0.12647314505289628,0.12421585817260859,0.09540139272106161
103,104,0.10447677232044711,0.06824700029265438,0.04762956825922858
104,105,0.12348051324404816,0.09141093992695522,0.07387562673052461
105,106,0.039715029890049096,0.20532933383327084,0.18912174985219046
106,107,0.18536943833888725,0.06243335611756665,0.04147811466290146
107,108,0.18052934043601,0.13783783783783782,0.12661574618096358
108,109,0.1695799195208334,0.19820919820919822,0.1922949735449735
109,110,0.06699955429872778,0.11446469191351077,0.0956755405574303
110,111,0.06761813243014679,0.22459935897435895,0.22281679672984023
111,112,0.5419464794464794,0.23333333333333336,0.32222222222222224
112,113,0.08551925742785782,0.03923050567345869,0.026112276768827693
113,114,0.11679820700899393,0.08184910327767468,0.06490080662742534
114,115,0.11521130851052018,0.15502717777967506,0.15095569604683767
115,116,0.1514727952631196,0.10133370380661295,0.08408058463361645
116,117,0.1034277058820562,0.18375594069267767,0.1401561212881968
117,118,0.17448701419372714,0.33333333333333337,0.375
118,119,0.1210498133680718,0.10329460013670538,0.08747095010252902
119,120,0.14901726850255767,0.08181661113167964,0.060631414022718357
120,121,0.10231733790530023,0.062446943587883205,0.045723873441994294
121,123,0.1382914632304223,0.13454081632653062,0.12226162596186017
122,124,0.16315084016595127,0.1904761904761905,0.2043010752688172
123,125,0.2777639004927237,0.11753623188405798,0.10287037037037039
124,126,0.06191003070716187,0.31828054298642533,0.3191325877230429
125,127,0.045709135771238744,0.21798387719982723,0.19505399658629297
126,128,0.1165876373276862,0.14463431305536564,0.13776749566223248
127,129,0.18658496897749638,0.13995416348357528,0.10804783451842274
128,130,0.10701466359273994,0.21980255516840885,0.22772330713340355
129,131,0.07770049791514207,0.1970636328845284,0.1866099478039777
130,132,0.07344819678409178,0.2998243302591128,0.3019632027957652
131,133,0.11811644057349678,0.1566515837104072,0.15228584802621312
